dataset,tau,periodicity,L,H,LplusH_minus_1,seed,baseline_mse,baseline_converged_mse,teacher_mse,fgl_student_mse,A_iter_mse,E_iter_mse
tau100,100,0.48598212773922894,100,15,114,0,135.15277777777777,123.31684027777777,25.11545138888889,137.015625,119.69444444444444,109.20138888888889
tau100,100,0.48598212773922894,100,15,114,1,133.45225694444446,121.86111111111111,24.65625,138.22743055555554,119.77170138888889,85.58680555555556
tau100,100,0.48598212773922894,100,15,114,2,135.21180555555554,120.32378472222223,24.157118055555557,135.421875,118.85763888888889,111.74652777777777
tau100,100,0.48598212773922894,100,30,129,0,201.53819444444446,182.85416666666666,23.472426470588236,201.16319444444446,150.08159722222223,169.29947916666666
tau100,100,0.48598212773922894,100,30,129,1,198.70920138888889,186.52604166666666,25.85110294117647,201.28211805555554,135.57899305555554,165.6171875
tau100,100,0.48598212773922894,100,30,129,2,201.21875,180.73263888888889,23.91452205882353,201.10677083333334,109.89236111111111,136.08940972222223
tau100,100,0.48598212773922894,40,15,54,0,161.140625,128.28559027777777,20.592881944444443,150.11371527777777,123.88975694444444,126.72309027777777
tau100,100,0.48598212773922894,40,15,54,1,163.12413194444446,133.6328125,21.27517361111111,167.32986111111111,124.09722222222223,123.29166666666667
tau100,100,0.48598212773922894,40,15,54,2,154.7890625,135.65711805555554,27.45659722222222,163.43229166666666,125.39756944444444,127.36979166666667
tau100,100,0.48598212773922894,70,15,84,0,138.50954861111111,122.54947916666667,24.86284722222222,140.40017361111111,118.859375,92.03819444444444
tau100,100,0.48598212773922894,70,15,84,1,138.45052083333334,120.59027777777777,23.807291666666668,137.93055555555554,119.36197916666667,94.64322916666667
tau100,100,0.48598212773922894,70,15,84,2,138.06770833333334,123.18229166666667,18.4609375,138.97395833333334,122.56684027777777,96.99826388888889
tau100,100,0.48598212773922894,85,15,99,0,138.88888888888889,121.47309027777777,24.205729166666668,138.63107638888889,119.78645833333333,74.42361111111111
tau100,100,0.48598212773922894,85,15,99,1,140.87152777777777,116.48697916666667,24.315104166666668,139.45920138888889,117.66059027777777,69.84809027777777
tau100,100,0.48598212773922894,85,15,99,2,138.12847222222223,118.88020833333333,24.58767361111111,138.56944444444446,121.45833333333333,81.83420138888889
tau100,100,0.48598212773922894,120,15,134,0,132.78819444444446,120.11284722222223,21.624131944444443,134.43663194444446,121.3203125,118.22135416666667
tau100,100,0.48598212773922894,120,15,134,1,134.50954861111111,116.828125,24.572916666666668,131.32118055555554,121.71701388888889,120.86284722222223
tau100,100,0.48598212773922894,120,15,134,2,127.31163194444444,121.30121527777777,24.536458333333332,133.45399305555554,116.33333333333333,87.14236111111111
tau50,50,0.5570259478286682,20,15,34,0,104.24739583333333,76.16666666666667,18.36111111111111,104.984375,84.95746527777777,81.85590277777777
tau50,50,0.5570259478286682,20,15,34,1,104.06510416666667,76.34635416666667,32.973958333333336,103.66666666666667,83.53732638888889,82.73871527777777
tau50,50,0.5570259478286682,20,15,34,2,103.72829861111111,74.93489583333333,20.20920138888889,105.49045138888889,85.21527777777777,84.00954861111111
tau150,150,0.4680730907162063,20,15,34,0,162.36805555555554,132.26128472222223,28.92013888888889,148.23090277777777,132.96180555555554,130.8359375
tau150,150,0.4680730907162063,20,15,34,1,155.00954861111111,130.62760416666666,35.314236111111114,153.28472222222223,142.94704861111111,128.37326388888889
tau150,150,0.4680730907162063,20,15,34,2,160.51736111111111,130.48090277777777,34.01909722222222,151.11545138888889,131.59895833333334,129.6796875
