L,H,seed,variant,baseline_mse,student_mse_init,student_mse,fgl_delta,init_delta
50,5,0,E,106.45659722222223,106.46354166666667,55.90972222222222,47.481204846784856,47.48463056275786
50,5,1,E,106.45138888888889,83.13715277777777,56.467013888888886,46.95511775066867,32.07968759788669
50,15,0,A,108.15104166666667,120.15798611111111,120.53819444444444,-11.45356770206276,-0.3164236898758828
50,15,1,A,108.02604166666667,113.671875,114.86631944444444,-6.3320637063465215,-1.0507827415043896
50,15,0,E,108.15104166666667,120.15798611111111,108.72743055555556,-0.5329480696685098,9.51293869471616
50,15,1,E,108.02604166666667,113.671875,92.515625,14.358034810279161,18.61168384879725
50,30,0,A,14.838541666666666,44.109375,43.954861111111114,-196.22089622089626,0.3502971621993867
50,30,1,A,14.819444444444445,14.809027777777779,30.727430555555557,-107.34536082474229,-107.49120750293085
50,30,0,E,14.838541666666666,44.109375,15.4375,-4.0365040365040405,65.00177116542685
50,30,1,E,14.819444444444445,14.809027777777779,15.61111111111111,-5.3420805998125545,-5.4161781946072605
50,45,0,A,14.227430555555555,43.795138888888886,43.8125,-207.9438682123246,-0.039641639578220166
50,45,1,A,14.244791666666666,29.75173611111111,29.789930555555557,-109.1285801340646,-0.12837719554181676
50,45,0,E,14.227430555555555,43.795138888888886,14.47048611111111,-1.70835875533862,66.9586934115595
50,45,1,E,14.244791666666666,29.75173611111111,14.394097222222221,-1.0481413772090176,51.619303261947834
50,60,0,A,14.133680555555555,43.65972222222222,43.671875,-208.99152438275394,-0.027835215524099156
50,60,1,A,14.125,43.63194444444444,43.6875,-209.29203539823007,-0.12732770969282553
50,60,0,E,14.133680555555555,43.65972222222222,14.135416666666666,-0.012283503255125571,67.62366788611422
50,60,1,E,14.125,43.63194444444444,14.125,0.0,67.62692981060003
72,5,0,A,14.114583333333334,14.383680555555555,14.319444444444445,-1.4514145141451387,0.4465902232951089
72,5,1,A,14.11111111111111,14.645833333333334,14.62673611111111,-3.6540354330708666,0.13039355144618975
72,5,0,E,14.114583333333334,14.383680555555555,14.175347222222221,-0.4305043050430406,1.4484007242003663
72,5,1,E,14.11111111111111,14.645833333333334,14.128472222222221,-0.12303149606298933,3.532479848269331
72,15,0,A,14.098958333333334,14.15451388888889,14.131944444444445,-0.23396133481098105,0.15945050901508787
72,15,1,A,14.116319444444445,14.722222222222221,14.659722222222221,-3.849465010453812,0.42452830188679247
72,15,0,E,14.098958333333334,14.15451388888889,14.175347222222221,-0.5418051964043739,-0.14718508524468682
72,15,1,E,14.116319444444445,14.722222222222221,14.152777777777779,-0.25827081539786423,3.8679245283018764
72,30,0,A,14.11111111111111,14.604166666666666,14.128472222222221,-0.12303149606298933,3.257251545411319
72,30,1,A,14.09375,14.59548611111111,14.616319444444445,-3.7078098053707826,-0.1427381943618454
72,30,0,E,14.11111111111111,14.604166666666666,14.10763888888889,0.02460629921259283,3.399904897765091
72,30,1,E,14.09375,14.59548611111111,14.128472222222221,-0.24636610002463102,3.1997145236112794
72,45,0,A,14.131944444444445,14.583333333333334,16.270833333333332,-15.135135135135124,-11.571428571428559
72,45,1,A,14.088541666666666,14.619791666666666,14.59548611111111,-3.5982747997535447,0.16625103906899283
72,45,0,E,14.131944444444445,14.583333333333334,14.11111111111111,0.1474201474201516,3.238095238095245
72,45,1,E,14.088541666666666,14.619791666666666,14.11111111111111,-0.16019716574245366,3.4793967462296624
72,60,0,A,12.009765625,12.515625,12.734375,-6.033501382338591,-1.7478152309612984
72,60,1,A,12.025390625,12.521484375,12.50390625,-3.9792106545395485,0.14038371548900327
72,60,0,E,12.009765625,12.515625,12.130859375,-1.0082940315498456,3.0742821473158553
72,60,1,E,12.025390625,12.521484375,12.041015625,-0.12993340912782197,3.837154890032756
